scansci Spectrometer Data File
--- Measurement Setting ---
Type: Sample Spectrum
Date: Fri Nov 29 18:32:13 2024
User: (Reserved by scansci)
Serial: (Reserved by scansci)
Channel: No. 11
Integration Time: 100
Average: 10
Boxcar: 1
Electrical Dark: No-corrected
Time Normalize: (Reserved by scansci)
Dual-beam: (Reserved by scansci)
Reference Ch: (Reserved by scansci)
--- Measurement Data ---
Pixel   Wavelength   Intensity
  457      549.557        785.9
  458      549.987      785.933
  459      550.416        785.8
  460      550.846      785.267
  461      551.275      785.167
  462      551.704        785.8
  463      552.133      785.767
  464      552.562        785.2
  465      552.991        784.6
  466       553.42      784.667
  467      553.849      784.033
  468      554.278      783.467
  469      554.706        783.8
  470      555.135      785.433
  471      555.563      787.367
  472      555.991        788.7
  473       556.42      788.833
  474      556.848      788.167
  475      557.276      787.567
  476      557.704      787.133
  477      558.132      786.167
  478       558.56      784.467
  479      558.987      783.567
  480      559.415        784.2
  481      559.843      785.667
  482       560.27      786.667
  483      560.697        786.6
  484      561.125        785.8
  485      561.552      784.767
  486      561.979        784.7
  487      562.406      785.033
  488      562.833      785.467
  489       563.26      786.733
  490      563.686          788
  491      564.113      789.133
  492       564.54      789.233
  493      564.966      788.367
  494      565.392        787.2
  495      565.819      785.867
  496      566.245      785.633
  497      566.671      785.867
  498      567.097      786.033
  499      567.523      786.067
  500      567.949          786
  501      568.374      785.833
  502        568.8      785.533
  503      569.226        786.4
  504      569.651      788.767
  505      570.077      791.533
  506      570.502      792.733
  507      570.927      791.333
  508      571.352      789.167
  509      571.777        787.1
  510      572.202      785.667
  511      572.627        785.4
  512      573.052      785.633
  513      573.476          786
  514      573.901      785.833
  515      574.325        786.6
  516       574.75        787.6
  517      575.174      788.233
  518      575.598        788.4
  519      576.022        788.6
  520      576.446      789.567
  521       576.87      790.467
  522      577.294        790.7
  523      577.718      789.967
  524      578.142      788.267
  525      578.565      788.167
  526      578.989      788.767
  527      579.412      789.333
  528      579.835        788.9
  529      580.259      788.367
  530      580.682        789.5
  531      581.105      790.733
  532      581.528      791.367
  533      581.951      790.533
  534      582.373      788.967
  535      582.796        788.3
  536      583.219        789.1
  537      583.641      790.667
  538      584.063        790.6
  539      584.486      788.533
  540      584.908        786.4
  541       585.33      786.033
  542      585.752        786.9
  543      586.174        788.5
  544      586.596      789.467
  545      587.018        789.4
  546      587.439      789.633
  547      587.861        789.7
  548      588.282      790.733
  549      588.704        791.1
  550      589.125      790.667
  551      589.546      789.633
  552      589.967      788.767
  553      590.388      789.767
  554      590.809      791.367
  555       591.23        793.5
  556      591.651      795.633
  557      592.071      796.467
  558      592.492        795.4
  559      592.912      793.433
  560      593.333        791.5
  561      593.753      789.367
  562      594.173      787.367
  563      594.593      786.933
  564      595.013        788.1
  565      595.433        789.8
  566      595.853        791.2
  567      596.273        791.5
  568      596.693      790.733
  569      597.112        789.7
  570      597.532      788.333
  571      597.951      786.467
  572       598.37      785.033
  573      598.789      785.033
  574      599.208      786.433
  575      599.627      787.333
  576      600.046      787.333
  577      600.465      787.333
  578      600.884      788.567
  579      601.303        790.7
  580      601.721      790.533
  581      602.139        788.4
  582      602.558      786.367
  583      602.976      786.867
  584      603.394      787.967
  585      603.812      787.833
  586       604.23      787.033
  587      604.648      788.633
  588      605.066        791.5
  589      605.484        793.7
  590      605.901        794.3
  591      606.319        794.8
  592      606.736      796.033
  593      607.154      795.933
  594      607.571      794.133
  595      607.988        792.1
  596      608.405      791.333
  597      608.822      791.667
  598      609.239      792.533
  599      609.656      793.733
  600      610.072        795.4
  601      610.489      797.167
  602      610.905      797.333
  603      611.322        795.2
  604      611.738      791.733
  605      612.154        789.6
  606       612.57        789.2
  607      612.986        789.2
  608      613.402        788.1
  609      613.818      786.333
  610      614.234      785.467
  611       614.65      785.367
  612      615.065      785.467
  613      615.481      785.833
  614      615.896        786.5
  615      616.311      788.067
  616      616.727      789.133
  617      617.142        789.8
  618      617.557      790.867
  619      617.972      791.633
  620      618.386      791.933
  621      618.801      791.633
  622      619.216      791.767
  623       619.63      792.567
  624      620.045      792.633
  625      620.459      791.633
  626      620.873      790.333
  627      621.287      789.967
  628      621.702      791.067
  629      622.116      792.367
  630      622.529        793.3
  631      622.943      792.767
  632      623.357      792.533
  633      623.771        792.3
  634      624.184      792.367
  635      624.597        791.7
  636      625.011      790.133
  637      625.424        788.3
  638      625.837      787.433
  639       626.25        788.1
  640      626.663        788.4
  641      627.076      788.233
  642      627.489      788.133
  643      627.901        788.4
  644      628.314      787.767
  645      628.726      786.633
  646      629.139      786.633
  647      629.551        786.8
  648      629.963        787.4
  649      630.375      788.633
  650      630.787        790.6
  651      631.199      792.567
  652      631.611      793.367
  653      632.023        793.4
  654      632.434      792.167
  655      632.846        790.6
  656      633.257      789.967
  657      633.669      789.933
  658       634.08      790.067
  659      634.491      790.167
  660      634.902      790.433
  661      635.313        790.6
  662      635.724      789.833
  663      636.135        788.9
  664      636.545      788.667
  665      636.956        789.3
  666      637.366        789.7
  667      637.777      788.567
  668      638.187        785.7
  669      638.597        784.7
  670      639.007        786.2
  671      639.417        787.9
  672      639.827      788.733
  673      640.237      790.033
  674      640.647      792.533
  675      641.056      793.967
  676      641.466        793.5
  677      641.875      792.933
  678      642.285      792.233
  679      642.694        790.6
  680      643.103      790.167
  681      643.512      790.967
  682      643.921      792.033
  683       644.33      791.867
  684      644.739        791.3
  685      645.148      791.833
  686      645.556      793.133
  687      645.965        793.9
  688      646.373          793
  689      646.781      791.133
  690      647.189      789.033
  691      647.598        788.8
  692      648.006        789.2
  693      648.414        789.2
  694      648.821      790.067
  695      649.229        792.4
  696      649.637        794.5
  697      650.044      793.967
  698      650.452      791.133
  699      650.859      788.833
  700      651.266      788.133
  701      651.673      787.667
  702       652.08        787.3
  703      652.487      787.067
  704      652.894      787.067
  705      653.301      787.367
  706      653.708      787.233
  707      654.114      787.733
  708      654.521          790
  709      654.927      792.833
  710      655.333      793.967
  711       655.74      792.067
  712      656.146      790.067
  713      656.552      790.967
  714      656.958      793.033
  715      657.363      794.033
  716      657.769      793.267
  717      658.175      792.567
  718       658.58      792.267
  719      658.986      793.133
  720      659.391          795
  721      659.796      795.833
  722      660.201      795.267
  723      660.606      793.033
  724      661.011      790.867
  725      661.416        788.5
  726      661.821        786.5
  727      662.225      785.767
  728       662.63      785.567
  729      663.034      785.067
  730      663.439      787.367
  731      663.843      792.133
  732      664.247          798
  733      664.651      803.967
  734      665.055      807.433
  735      665.459        807.7
  736      665.863        804.8
  737      666.267        801.5
  738       666.67        800.3
  739      667.074      797.867
  740      667.477        794.9
  741       667.88        792.9
  742      668.283      792.233
  743      668.687      791.467
  744       669.09      789.167
  745      669.492      787.367
  746      669.895        786.9
  747      670.298        786.9
  748      670.701        785.6
  749      671.103          787
  750      671.505      790.333
  751      671.908        791.9
  752       672.31      789.867
  753      672.712      786.333
  754      673.114      785.567
  755      673.516      786.533
  756      673.918      787.933
  757       674.32        788.9
  758      674.721        789.3
  759      675.123      789.333
  760      675.524      788.533
  761      675.926      787.433
  762      676.327      786.667
  763      676.728      787.167
  764      677.129      788.467
  765       677.53        789.4
  766      677.931      789.367
  767      678.332      788.467
  768      678.732      788.367
  769      679.133      788.767
  770      679.533      789.567
  771      679.934        790.7
  772      680.334        791.1
  773      680.734      789.333
  774      681.134      786.333
  775      681.534        784.2
  776      681.934        784.2
  777      682.334        784.8
  778      682.733        785.1
  779      683.133      784.233
  780      683.532      783.033
  781      683.932        783.4
  782      684.331        785.2
  783       684.73      786.267
  784      685.129      785.233
  785      685.528      783.233
  786      685.927      782.267
  787      686.326      782.767
  788      686.725      783.167
  789      687.123      783.733
  790      687.522        783.5
  791       687.92      782.833
  792      688.319      782.067
  793      688.717        782.6
  794      689.115        783.9
  795      689.513      784.767
  796      689.911        784.5
  797      690.309        785.4
  798      690.706      787.533
  799      691.104      788.667
  800      691.501      787.633
  801      691.899      785.767
  802      692.296      786.167
  803      692.693        788.6
  804       693.09          791
  805      693.488      791.567
  806      693.884      789.933
  807      694.281      786.867
  808      694.678      784.533
  809      695.075        784.4
  810      695.471        785.6
  811      695.868      785.867
  812      696.264      783.833
  813       696.66        781.3
  814      697.056      779.867
  815      697.452        780.4
  816      697.848      781.867
