depth[mm]	HF [V]	NF [V]	TGC [dB]
125,0	0,006	-0,002	30,709
125,2	0,005	0,002	30,709
125,3	0,003	0,003	30,709
125,4	0,002	0,002	30,709
125,6	0,002	0,001	30,709
125,7	0,002	0,002	30,709
125,9	0,002	0,002	30,709
126,0	0,003	0,001	30,709
126,1	0,002	-0,001	30,709
126,3	0,002	-0,002	30,709
126,4	0,001	-0,001	30,709
126,5	0,001	0,000	30,709
126,7	0,001	0,000	30,709
126,8	0,002	-0,001	30,709
126,9	0,003	-0,003	30,709
127,1	0,004	-0,004	30,709
127,2	0,006	-0,005	30,709
127,3	0,006	-0,004	30,709
127,5	0,005	-0,002	30,709
127,6	0,004	0,002	30,709
127,7	0,003	0,002	30,709
127,9	0,003	-0,001	30,709
128,0	0,004	-0,004	30,787
128,1	0,006	-0,005	30,709
128,3	0,008	-0,001	30,709
128,4	0,008	0,003	30,709
128,5	0,007	0,006	30,709
128,7	0,004	0,004	30,709
128,8	0,003	0,001	30,709
129,0	0,001	-0,001	30,709
129,1	0,001	-0,001	30,709
129,2	0,001	0,001	30,709
129,4	0,001	0,001	30,709
129,5	0,002	-0,001	30,709
129,6	0,002	-0,002	30,709
129,8	0,002	-0,002	30,709
129,9	0,002	0,000	30,709
130,0	0,002	0,000	30,709
130,2	0,003	-0,002	30,709
130,3	0,003	-0,002	30,709
130,4	0,004	0,001	30,709
130,6	0,004	0,004	30,709
130,7	0,004	0,002	30,709
130,8	0,003	-0,002	30,709
131,0	0,002	-0,004	30,709
131,1	0,002	-0,002	30,709
131,2	0,003	-0,001	30,709
131,4	0,004	-0,003	30,709
131,5	0,006	-0,006	30,787
131,7	0,007	-0,005	30,709
131,8	0,007	-0,001	30,709
131,9	0,006	0,001	30,709
132,1	0,005	0,000	30,709
132,2	0,004	0,000	30,709
132,3	0,004	0,002	30,709
132,5	0,004	0,002	30,709
132,6	0,004	-0,001	30,709
132,7	0,005	-0,003	30,709
132,9	0,006	0,001	30,709
133,0	0,006	0,005	30,709
133,1	0,006	0,002	30,709
133,3	0,006	-0,005	30,709
133,4	0,007	-0,004	30,709
133,5	0,009	0,007	30,709
133,7	0,012	0,010	30,709
133,8	0,014	-0,002	30,709
