depth[mm]	HF [V]	NF [V]	TGC [dB]
51,9	0,005	0,003	30,709
52,0	0,004	0,005	30,709
52,2	0,004	0,001	30,709
52,3	0,004	-0,003	30,709
52,4	0,004	-0,002	30,709
52,6	0,004	0,002	30,709
52,7	0,004	0,004	30,709
52,8	0,004	0,004	30,709
53,0	0,004	0,004	30,709
53,1	0,005	0,005	30,709
53,2	0,006	0,003	30,709
53,4	0,005	-0,001	30,709
53,5	0,004	-0,004	30,709
53,6	0,002	-0,001	30,709
53,8	0,002	0,001	30,709
53,9	0,004	-0,003	30,709
54,1	0,007	-0,007	30,709
54,2	0,009	-0,003	30,709
54,3	0,009	0,007	30,709
54,5	0,007	0,007	30,709
54,6	0,007	-0,002	30,709
54,7	0,008	-0,004	30,709
54,9	0,012	0,009	30,709
55,0	0,018	0,016	30,709
55,1	0,026	-0,007	30,709
55,3	0,039	-0,038	30,709
55,4	0,056	-0,022	30,709
55,5	0,079	0,050	30,709
55,7	0,106	0,105	30,709
55,8	0,135	0,056	30,709
55,9	0,161	-0,081	30,709
56,1	0,183	-0,181	30,709
56,2	0,196	-0,140	30,709
56,3	0,199	0,015	30,709
56,5	0,191	0,152	30,709
56,6	0,173	0,171	30,709
56,8	0,148	0,086	30,709
56,9	0,120	-0,017	30,709
57,0	0,094	-0,070	30,709
57,2	0,072	-0,070	30,709
57,3	0,052	-0,043	30,709
57,4	0,034	-0,014	30,709
57,6	0,020	0,004	30,709
57,7	0,011	0,005	30,709
57,8	0,010	-0,004	30,709
58,0	0,016	-0,006	30,630
58,1	0,024	0,008	30,709
58,2	0,030	0,025	30,709
58,4	0,030	0,029	30,709
58,5	0,024	0,016	30,709
58,6	0,016	0,003	30,709
58,8	0,010	0,000	30,709
58,9	0,009	0,001	30,709
59,0	0,011	-0,003	30,709
59,2	0,012	-0,009	30,709
59,3	0,010	-0,010	30,709
59,4	0,007	-0,006	30,709
59,6	0,003	-0,001	30,709
59,7	0,002	-0,001	30,709
59,9	0,004	-0,005	30,709
60,0	0,007	-0,006	30,709
60,1	0,009	-0,002	30,709
60,3	0,009	0,004	30,709
60,4	0,008	0,007	30,709
60,5	0,006	0,007	30,709
60,7	0,005	0,004	30,630
60,8	0,005	0,001	30,709
60,9	0,004	-0,002	30,709
61,1	0,003	-0,002	30,709
61,2	0,002	-0,002	30,709
61,3	0,002	-0,002	30,709
61,5	0,003	-0,003	30,709
61,6	0,005	-0,002	30,709
61,7	0,006	0,002	30,709
61,9	0,007	0,006	30,709
62,0	0,008	0,007	30,551
62,1	0,007	0,003	30,709
62,3	0,005	-0,002	30,709
62,4	0,003	-0,003	30,709
62,6	0,002	-0,001	30,709
62,7	0,001	0,001	30,709
62,8	0,002	-0,001	30,709
63,0	0,003	-0,003	30,709
63,1	0,005	-0,002	30,630
63,2	0,007	0,004	30,709
63,4	0,008	0,008	30,630
63,5	0,008	0,005	30,709
63,6	0,007	-0,003	30,709
63,8	0,007	-0,006	30,709
63,9	0,005	-0,003	30,709
64,0	0,004	0,002	30,709
64,2	0,003	0,003	30,709
64,3	0,003	-0,001	30,709
64,4	0,004	-0,004	30,630
64,6	0,006	-0,002	30,709
64,7	0,008	0,003	30,709
64,8	0,008	0,008	30,630
65,0	0,007	0,006	30,709
65,1	0,006	0,001	30,709
65,3	0,004	-0,003	30,709
65,4	0,004	-0,002	30,709
65,5	0,005	0,002	30,709
65,7	0,006	0,006	30,709
65,8	0,006	0,005	30,630
65,9	0,006	0,000	30,709
66,1	0,005	-0,004	30,709
66,2	0,004	-0,004	30,630
66,3	0,003	0,000	30,630
66,5	0,003	0,003	30,709
